layer_name,scenario_year,data_year
res_reg_birds,2010,2014
res_reg_birds,2011,2014
res_reg_birds,2012,2014
res_reg_birds,2013,2014
res_reg_birds,2014,2014
res_reg_birds,2015,2014
res_reg_birds,2016,2014
res_reg_birds,2017,2014
res_reg_birds,2018,2014
res_reg_birds,2019,2014
res_reg_birds,2020,2014
res_reg_bsap,2010,2014
res_reg_bsap,2011,2014
res_reg_bsap,2012,2014
res_reg_bsap,2013,2014
res_reg_bsap,2014,2014
res_reg_bsap,2015,2014
res_reg_bsap,2016,2014
res_reg_bsap,2017,2014
res_reg_bsap,2018,2014
res_reg_bsap,2019,2014
res_reg_bsap,2020,2014
res_reg_bwd,2010,2014
res_reg_bwd,2011,2014
res_reg_bwd,2012,2014
res_reg_bwd,2013,2014
res_reg_bwd,2014,2014
res_reg_bwd,2015,2014
res_reg_bwd,2016,2014
res_reg_bwd,2017,2014
res_reg_bwd,2018,2014
res_reg_bwd,2019,2014
res_reg_bwd,2020,2014
res_reg_cbd,2010,2014
res_reg_cbd,2011,2014
res_reg_cbd,2012,2014
res_reg_cbd,2013,2014
res_reg_cbd,2014,2014
res_reg_cbd,2015,2014
res_reg_cbd,2016,2014
res_reg_cbd,2017,2014
res_reg_cbd,2018,2014
res_reg_cbd,2019,2014
res_reg_cbd,2020,2014
res_reg_cfp,2010,2014
res_reg_cfp,2011,2014
res_reg_cfp,2012,2014
res_reg_cfp,2013,2014
res_reg_cfp,2014,2014
res_reg_cfp,2015,2014
res_reg_cfp,2016,2014
res_reg_cfp,2017,2014
res_reg_cfp,2018,2014
res_reg_cfp,2019,2014
res_reg_cfp,2020,2014
res_reg_cites,2010,2014
res_reg_cites,2011,2014
res_reg_cites,2012,2014
res_reg_cites,2013,2014
res_reg_cites,2014,2014
res_reg_cites,2015,2014
res_reg_cites,2016,2014
res_reg_cites,2017,2014
res_reg_cites,2018,2014
res_reg_cites,2019,2014
res_reg_cites,2020,2014
res_reg_cop21,2010,2014
res_reg_cop21,2011,2014
res_reg_cop21,2012,2014
res_reg_cop21,2013,2014
res_reg_cop21,2014,2014
res_reg_cop21,2015,2014
res_reg_cop21,2016,2014
res_reg_cop21,2017,2014
res_reg_cop21,2018,2014
res_reg_cop21,2019,2014
res_reg_cop21,2020,2014
res_reg_hd,2010,2014
res_reg_hd,2011,2014
res_reg_hd,2012,2014
res_reg_hd,2013,2014
