"","region_id","dimension","goal","score"
"341","BHI-513","status","AO",41.7
"342","BHI-514","status","AO",63.3
"343","BHI-515","status","AO",81.6
"344","BHI-516","status","AO",70.8
"345","BHI-517","status","AO",100
"346","BHI-000","trend","AO",-0.003
"347","BHI-001","trend","AO",NA
"348","BHI-002","trend","AO",-0.04
"349","BHI-003","trend","AO",-0.05
"350","BHI-005","trend","AO",NA
"351","BHI-006","trend","AO",0.07
"352","BHI-007","trend","AO",NA
"353","BHI-008","trend","AO",NA
"354","BHI-009","trend","AO",NA
"355","BHI-010","trend","AO",NA
"356","BHI-011","trend","AO",NA
"357","BHI-012","trend","AO",-0.01
"358","BHI-013","trend","AO",NA
"359","BHI-014","trend","AO",0.12
"360","BHI-015","trend","AO",NA
"361","BHI-016","trend","AO",NA
"362","BHI-017","trend","AO",NA
"363","BHI-018","trend","AO",NA
"364","BHI-019","trend","AO",NA
"365","BHI-020","trend","AO",NA
"366","BHI-021","trend","AO",NA
"367","BHI-022","trend","AO",NA
"368","BHI-023","trend","AO",0.03
"369","BHI-024","trend","AO",-0.23
"370","BHI-025","trend","AO",NA
"371","BHI-026","trend","AO",0.05
"372","BHI-027","trend","AO",-0.22
"373","BHI-028","trend","AO",-0.05
"374","BHI-029","trend","AO",-0.05
"375","BHI-030","trend","AO",NA
"376","BHI-031","trend","AO",NA
"377","BHI-032","trend","AO",0.03
"378","BHI-033","trend","AO",NA
"379","BHI-034","trend","AO",NA
"380","BHI-035","trend","AO",0.15
"381","BHI-036","trend","AO",NA
"382","BHI-037","trend","AO",-0.02
"383","BHI-038","trend","AO",0.11
"384","BHI-039","trend","AO",0
"385","BHI-040","trend","AO",0.11
"386","BHI-041","trend","AO",0.05
"387","BHI-042","trend","AO",0.04
"388","BHI-043","trend","AO",NA
"389","BHI-301","trend","AO",0.025
"390","BHI-302","trend","AO",-0.035
"391","BHI-303","trend","AO",NA
"392","BHI-304","trend","AO",NA
"393","BHI-305","trend","AO",NA
"394","BHI-306","trend","AO",0.03
"395","BHI-307","trend","AO",-0.227
"396","BHI-308","trend","AO",-0.05
"397","BHI-309","trend","AO",0.079
"398","BHI-501","trend","AO",-0.04
"399","BHI-502","trend","AO",-0.05
"400","BHI-503","trend","AO",0.07
"401","BHI-504","trend","AO",NA
"402","BHI-505","trend","AO",NA
"403","BHI-506","trend","AO",-0.01
"404","BHI-507","trend","AO",0.12
"405","BHI-508","trend","AO",NA
"406","BHI-509","trend","AO",-0.172
"407","BHI-510","trend","AO",0.05
"408","BHI-511","trend","AO",-0.123
"409","BHI-512","trend","AO",-0.05
"410","BHI-513","trend","AO",0.03
"411","BHI-514","trend","AO",0.15
"412","BHI-515","trend","AO",0.041
"413","BHI-516","trend","AO",0.067
"414","BHI-517","trend","AO",0.045
"415","BHI-000","future","BD",74.7
"416","BHI-001","future","BD",100
"417","BHI-002","future","BD",41.2
"418","BHI-003","future","BD",35.9
"419","BHI-005","future","BD",95.1
"420","BHI-006","future","BD",38
"421","BHI-007","future","BD",89.4
"422","BHI-008","future","BD",93.8
"423","BHI-009","future","BD",87.3
"424","BHI-010","future","BD",88.8
"425","BHI-011","future","BD",81.7
"426","BHI-012","future","BD",31.5
"427","BHI-013","future","BD",71.9
"428","BHI-014","future","BD",27.2
"429","BHI-015","future","BD",24.5
"430","BHI-016","future","BD",44.5
"431","BHI-017","future","BD",43.7
"432","BHI-018","future","BD",74.5
"433","BHI-019","future","BD",28.3
"434","BHI-020","future","BD",87.8
"435","BHI-021","future","BD",74.8
"436","BHI-022","future","BD",63.8
"437","BHI-023","future","BD",93.4
"438","BHI-024","future","BD",96.5
"439","BHI-025","future","BD",90.8
"440","BHI-026","future","BD",62.9
"441","BHI-027","future","BD",83.5
"442","BHI-028","future","BD",82.2
"443","BHI-029","future","BD",84.2
"444","BHI-030","future","BD",68.4
"445","BHI-031","future","BD",77.2
"446","BHI-032","future","BD",81.6
"447","BHI-033","future","BD",55.2
"448","BHI-034","future","BD",80.8
"449","BHI-035","future","BD",85
"450","BHI-036","future","BD",87.1
"451","BHI-037","future","BD",99.5
"452","BHI-038","future","BD",97.8
"453","BHI-039","future","BD",81.1
"454","BHI-040","future","BD",85.9
"455","BHI-041","future","BD",89.8
"456","BHI-042","future","BD",90
"457","BHI-043","future","BD",64.5
"458","BHI-301","future","BD",79.5
"459","BHI-302","future","BD",38.3
"460","BHI-303","future","BD",74.1
"461","BHI-304","future","BD",58
"462","BHI-305","future","BD",56.2
"463","BHI-306","future","BD",93.4
"464","BHI-307","future","BD",93
"465","BHI-308","future","BD",81.5
"466","BHI-309","future","BD",86.5
"467","BHI-501","future","BD",58
"468","BHI-502","future","BD",35.9
"469","BHI-503","future","BD",67
"470","BHI-504","future","BD",92.2
"471","BHI-505","future","BD",88.4
"472","BHI-506","future","BD",59.9
"473","BHI-507","future","BD",34.6
"474","BHI-508","future","BD",57.5
"475","BHI-509","future","BD",86
"476","BHI-510","future","BD",62.9
"477","BHI-511","future","BD",82.7
"478","BHI-512","future","BD",78.2
"479","BHI-513","future","BD",71
"480","BHI-514","future","BD",86.4
"481","BHI-515","future","BD",98.7
"482","BHI-516","future","BD",84
"483","BHI-517","future","BD",89.9
"484","BHI-000","pressures","BD",32.6
"485","BHI-001","pressures","BD",22.7
"486","BHI-002","pressures","BD",22.7
"487","BHI-003","pressures","BD",17.3
"488","BHI-005","pressures","BD",5.9
"489","BHI-006","pressures","BD",5.9
"490","BHI-007","pressures","BD",9.9
"491","BHI-008","pressures","BD",9.9
"492","BHI-009","pressures","BD",15.2
"493","BHI-010","pressures","BD",15.2
"494","BHI-011","pressures","BD",41.1
"495","BHI-012","pressures","BD",41.1
"496","BHI-013","pressures","BD",41.1
"497","BHI-014","pressures","BD",31.5
"498","BHI-015","pressures","BD",31.5
"499","BHI-016","pressures","BD",31.5
"500","BHI-017","pressures","BD",31.5
"501","BHI-018","pressures","BD",47.6
"502","BHI-019","pressures","BD",47.6
"503","BHI-020","pressures","BD",31.1
"504","BHI-021","pressures","BD",31.1
"505","BHI-022","pressures","BD",31.1
"506","BHI-023","pressures","BD",31.1
"507","BHI-024","pressures","BD",31.1
"508","BHI-025","pressures","BD",31.1
"509","BHI-026","pressures","BD",26.6
"510","BHI-027","pressures","BD",32.6
"511","BHI-028","pressures","BD",32.6
"512","BHI-029","pressures","BD",29.1
"513","BHI-030","pressures","BD",29.1
"514","BHI-031","pressures","BD",29.1
"515","BHI-032","pressures","BD",35.4
"516","BHI-033","pressures","BD",35.4
"517","BHI-034","pressures","BD",35.4
"518","BHI-035","pressures","BD",20.5
"519","BHI-036","pressures","BD",20.5
"520","BHI-037","pressures","BD",23.2
"521","BHI-038","pressures","BD",23.2
"522","BHI-039","pressures","BD",67.6
"523","BHI-040","pressures","BD",67.6
"524","BHI-041","pressures","BD",63.1
"525","BHI-042","pressures","BD",63.1
"526","BHI-043","pressures","BD",52
"527","BHI-301","pressures","BD",32.4
"528","BHI-302","pressures","BD",24.8
"529","BHI-303","pressures","BD",29.2
"530","BHI-304","pressures","BD",33.2
"531","BHI-305","pressures","BD",34.7
"532","BHI-306","pressures","BD",31.1
"533","BHI-307","pressures","BD",31.5
"534","BHI-308","pressures","BD",31.8
"535","BHI-309","pressures","BD",37.7
"536","BHI-501","pressures","BD",22.7
"537","BHI-502","pressures","BD",17.3
"538","BHI-503","pressures","BD",5.9
"539","BHI-504","pressures","BD",9.9
"540","BHI-505","pressures","BD",15.2
"541","BHI-506","pressures","BD",41.1
"542","BHI-507","pressures","BD",31.5
"543","BHI-508","pressures","BD",47.6
"544","BHI-509","pressures","BD",31.1
"545","BHI-510","pressures","BD",26.6
"546","BHI-511","pressures","BD",32.6
"547","BHI-512","pressures","BD",29.1
"548","BHI-513","pressures","BD",35.4
"549","BHI-514","pressures","BD",20.5
"550","BHI-515","pressures","BD",23.2
"551","BHI-516","pressures","BD",67.6
"552","BHI-517","pressures","BD",63.1
"553","BHI-000","resilience","BD",80.1
"554","BHI-001","resilience","BD",80.7
"555","BHI-002","resilience","BD",78
"556","BHI-003","resilience","BD",78
"557","BHI-005","resilience","BD",80.7
"558","BHI-006","resilience","BD",78
"559","BHI-007","resilience","BD",78
"560","BHI-008","resilience","BD",81.1
"561","BHI-009","resilience","BD",78
"562","BHI-010","resilience","BD",81.1
"563","BHI-011","resilience","BD",80.7
"564","BHI-012","resilience","BD",78
"565","BHI-013","resilience","BD",81.1
"566","BHI-014","resilience","BD",80.7
"567","BHI-015","resilience","BD",78
"568","BHI-016","resilience","BD",81.1
"569","BHI-017","resilience","BD",76.9
"570","BHI-018","resilience","BD",76.9
"571","BHI-019","resilience","BD",NA
"572","BHI-020","resilience","BD",80.7
"573","BHI-021","resilience","BD",76.9
"574","BHI-022","resilience","BD",NA
"575","BHI-023","resilience","BD",81.6
"576","BHI-024","resilience","BD",79.8
"577","BHI-025","resilience","BD",78.5
"578","BHI-026","resilience","BD",80.7
"579","BHI-027","resilience","BD",79.8
"580","BHI-028","resilience","BD",78.5
"581","BHI-029","resilience","BD",80.7
"582","BHI-030","resilience","BD",82
"583","BHI-031","resilience","BD",78.5
"584","BHI-032","resilience","BD",82
"585","BHI-033","resilience","BD",NA
"586","BHI-034","resilience","BD",78.5
"587","BHI-035","resilience","BD",80.7
"588","BHI-036","resilience","BD",82
"589","BHI-037","resilience","BD",80.7
"590","BHI-038","resilience","BD",82
"591","BHI-039","resilience","BD",80.7
"592","BHI-040","resilience","BD",82
"593","BHI-041","resilience","BD",80.7
"594","BHI-042","resilience","BD",82
"595","BHI-043","resilience","BD",NA
"596","BHI-301","resilience","BD",80.7
"597","BHI-302","resilience","BD",78
"598","BHI-303","resilience","BD",81.1
"599","BHI-304","resilience","BD",76.9
"600","BHI-305","resilience","BD",NA
"601","BHI-306","resilience","BD",81.6
"602","BHI-307","resilience","BD",79.8
"603","BHI-308","resilience","BD",78.5
"604","BHI-309","resilience","BD",82
"605","BHI-501","resilience","BD",78.8
"606","BHI-502","resilience","BD",78
"607","BHI-503","resilience","BD",79.4
"608","BHI-504","resilience","BD",80
"609","BHI-505","resilience","BD",80.3
"610","BHI-506","resilience","BD",79.9
"611","BHI-507","resilience","BD",78.7
"612","BHI-508","resilience","BD",76.9
"613","BHI-509","resilience","BD",79.7
"614","BHI-510","resilience","BD",80.7
"615","BHI-511","resilience","BD",79.1
"616","BHI-512","resilience","BD",80.4
"617","BHI-513","resilience","BD",80.4
"618","BHI-514","resilience","BD",81.6
"619","BHI-515","resilience","BD",81.3
"620","BHI-516","resilience","BD",81.5
"621","BHI-517","resilience","BD",81.3
"622","BHI-000","score","BD",70.7
"623","BHI-001","score","BD",94
"624","BHI-002","score","BD",38.1
"625","BHI-003","score","BD",33.1
"626","BHI-005","score","BD",86.1
"627","BHI-006","score","BD",34.5
"628","BHI-007","score","BD",81.5
"629","BHI-008","score","BD",85.1
"630","BHI-009","score","BD",80.1
"631","BHI-010","score","BD",81.2
"632","BHI-011","score","BD",77.4
"633","BHI-012","score","BD",29.9
"634","BHI-013","score","BD",67.9
"635","BHI-014","score","BD",25.5
"636","BHI-015","score","BD",22.9
"637","BHI-016","score","BD",41.5
"638","BHI-017","score","BD",41.1
"639","BHI-018","score","BD",71.6
"640","BHI-019","score","BD",31
"641","BHI-020","score","BD",82.1
"642","BHI-021","score","BD",70.2
"643","BHI-022","score","BD",67.5
"644","BHI-023","score","BD",87.2
"645","BHI-024","score","BD",90.3
"646","BHI-025","score","BD",85.1
"647","BHI-026","score","BD",58.5
"648","BHI-027","score","BD",78.3
"649","BHI-028","score","BD",77.1
"650","BHI-029","score","BD",78.5
"651","BHI-030","score","BD",63.7
"652","BHI-031","score","BD",72.1
"653","BHI-032","score","BD",76.6
"654","BHI-033","score","BD",58.9
"655","BHI-034","score","BD",76.1
"656","BHI-035","score","BD",78.3
"657","BHI-036","score","BD",80.2
"658","BHI-037","score","BD",92
"659","BHI-038","score","BD",90.3
"660","BHI-039","score","BD",80
"661","BHI-040","score","BD",84.5
"662","BHI-041","score","BD",87.9
"663","BHI-042","score","BD",87.9
"664","BHI-043","score","BD",71.2
"665","BHI-301","score","BD",74.6
"666","BHI-302","score","BD",35.5
"667","BHI-303","score","BD",68.9
"668","BHI-304","score","BD",54.6
"669","BHI-305","score","BD",59.9
"670","BHI-306","score","BD",87.2
"671","BHI-307","score","BD",87.1
"672","BHI-308","score","BD",76.5
"673","BHI-309","score","BD",82.2
"674","BHI-501","score","BD",54.1
"675","BHI-502","score","BD",33.1
"676","BHI-503","score","BD",60.7
"677","BHI-504","score","BD",83.8
"678","BHI-505","score","BD",80.9
"679","BHI-506","score","BD",56.7
"680","BHI-507","score","BD",32.4
"681","BHI-508","score","BD",56.7
"682","BHI-509","score","BD",81.5
"683","BHI-510","score","BD",58.5
"684","BHI-511","score","BD",77.6
"685","BHI-512","score","BD",72.9
"686","BHI-513","score","BD",69.5
"687","BHI-514","score","BD",79.6
"688","BHI-515","score","BD",91.2
"689","BHI-516","score","BD",82.7
