region_id,year,pressure_score
BHI-030,2008,0.42
BHI-030,2009,0.42
BHI-030,2010,0.53
BHI-030,2011,0.61
BHI-030,2012,0.54
BHI-030,2013,0.44
BHI-030,2014,0.4
BHI-030,2015,0.35
BHI-030,2016,0.23
BHI-030,2017,0.21
BHI-029,1997,0.8
BHI-029,1998,0.87
BHI-029,1999,0.93
BHI-029,2000,0.84
BHI-029,2001,0.75
BHI-029,2002,0.69
BHI-029,2003,0.58
BHI-029,2004,0.51
BHI-029,2005,0.39
BHI-029,2006,0.44
BHI-029,2007,0.43
BHI-029,2008,0.42
BHI-029,2009,0.42
BHI-029,2010,0.53
BHI-029,2011,0.61
BHI-029,2012,0.54
BHI-029,2013,0.44
BHI-029,2014,0.4
BHI-029,2015,0.35
BHI-029,2016,0.23
BHI-029,2017,0.21
BHI-028,1997,0
BHI-028,1998,0
BHI-028,1999,0.38
BHI-028,2000,0.53
BHI-028,2001,0.31
BHI-028,2002,0.04
BHI-028,2003,0
BHI-028,2004,0.07
BHI-028,2005,0.38
BHI-028,2006,0.36
BHI-028,2007,0.34
BHI-028,2008,0.34
BHI-028,2009,0.52
BHI-028,2010,0.56
BHI-028,2011,0.26
BHI-028,2012,0.39
BHI-028,2013,0.26
BHI-028,2014,0.15
BHI-028,2015,0
BHI-028,2016,0
BHI-028,2017,0.16
BHI-027,1997,0
BHI-027,1998,0
BHI-027,1999,0.38
BHI-027,2000,0.53
BHI-027,2001,0.31
BHI-027,2002,0.04
BHI-027,2003,0
BHI-027,2004,0.07
BHI-027,2005,0.38
BHI-027,2006,0.36
BHI-027,2007,0.34
BHI-027,2008,0.34
BHI-027,2009,0.52
BHI-027,2010,0.56
BHI-027,2011,0.26
BHI-027,2012,0.39
BHI-027,2013,0.26
BHI-027,2014,0.15
BHI-027,2015,0
BHI-027,2016,0
BHI-027,2017,0.16
BHI-026,1997,0.8
BHI-026,1998,0.87
BHI-026,1999,0.93
BHI-026,2000,0.84
BHI-026,2001,0.75
BHI-026,2002,0.69
BHI-026,2003,0.58
BHI-026,2004,0.51
BHI-026,2005,0.39
BHI-026,2006,0.44
BHI-026,2007,0.43
BHI-026,2008,0.42
BHI-026,2009,0.42
BHI-026,2010,0.53
BHI-026,2011,0.61
BHI-026,2012,0.54
BHI-026,2013,0.44
BHI-026,2014,0.4
BHI-026,2015,0.35
BHI-026,2016,0.23
BHI-026,2017,0.21
