"region_id","year","surf_temp_pressure"
"BHI-026",2001,0.09
"BHI-027",2001,0.06
"BHI-028",2001,0.06
"BHI-029",2001,0.11
"BHI-030",2001,0.11
"BHI-031",2001,0.11
"BHI-032",2001,0.24
"BHI-033",2001,0.24
"BHI-034",2001,0.24
"BHI-035",2001,0.4
"BHI-036",2001,0.4
"BHI-037",2001,0.19
"BHI-038",2001,0.19
"BHI-039",2001,0.46
"BHI-040",2001,0.46
"BHI-041",2001,0.44
"BHI-042",2001,0.44
"BHI-043",2001,0.43
"BHI-001",2002,0.39
"BHI-002",2002,0.39
"BHI-003",2002,0.33
"BHI-005",2002,0.3
"BHI-006",2002,0.3
"BHI-007",2002,0.18
"BHI-008",2002,0.18
"BHI-009",2002,0.36
"BHI-010",2002,0.36
"BHI-011",2002,0.48
"BHI-012",2002,0.48
"BHI-013",2002,0.48
"BHI-014",2002,0.3
"BHI-015",2002,0.3
"BHI-016",2002,0.3
"BHI-017",2002,0.3
"BHI-018",2002,0.42
"BHI-019",2002,0.42
"BHI-020",2002,0.09
"BHI-021",2002,0.09
"BHI-022",2002,0.09
"BHI-023",2002,0.09
"BHI-024",2002,0.09
"BHI-025",2002,0.09
"BHI-026",2002,0.08
"BHI-027",2002,0.11
"BHI-028",2002,0.11
"BHI-029",2002,0.13
"BHI-030",2002,0.13
"BHI-031",2002,0.13
"BHI-032",2002,0.29
"BHI-033",2002,0.29
"BHI-034",2002,0.29
"BHI-035",2002,0.42
"BHI-036",2002,0.42
"BHI-037",2002,0.19
"BHI-038",2002,0.19
"BHI-039",2002,0.51
"BHI-040",2002,0.51
"BHI-041",2002,0.49
"BHI-042",2002,0.49
"BHI-043",2002,0.44
"BHI-001",2003,0.45
"BHI-002",2003,0.45
"BHI-003",2003,0.4
"BHI-005",2003,0.31
"BHI-006",2003,0.31
"BHI-007",2003,0.22
"BHI-008",2003,0.22
"BHI-009",2003,0.38
"BHI-010",2003,0.38
"BHI-011",2003,0.5
"BHI-012",2003,0.5
"BHI-013",2003,0.5
"BHI-014",2003,0.31
"BHI-015",2003,0.31
"BHI-016",2003,0.31
"BHI-017",2003,0.31
"BHI-018",2003,0.36
"BHI-019",2003,0.36
"BHI-020",2003,0.1
"BHI-021",2003,0.1
"BHI-022",2003,0.1
"BHI-023",2003,0.1
"BHI-024",2003,0.1
"BHI-025",2003,0.1
"BHI-026",2003,0.11
"BHI-027",2003,0.16
"BHI-028",2003,0.16
"BHI-029",2003,0.15
"BHI-030",2003,0.15
"BHI-031",2003,0.15
"BHI-032",2003,0.3
"BHI-033",2003,0.3
"BHI-034",2003,0.3
"BHI-035",2003,0.4
"BHI-036",2003,0.4
"BHI-037",2003,0.18
"BHI-038",2003,0.18
"BHI-039",2003,0.52
"BHI-040",2003,0.52
"BHI-041",2003,0.5
"BHI-042",2003,0.5
"BHI-043",2003,0.45
"BHI-001",2004,0.44
"BHI-002",2004,0.44
"BHI-003",2004,0.42
"BHI-005",2004,0.31
"BHI-006",2004,0.31
"BHI-007",2004,0.25
"BHI-008",2004,0.25
"BHI-009",2004,0.35
"BHI-010",2004,0.35
"BHI-011",2004,0.47
"BHI-012",2004,0.47
"BHI-013",2004,0.47
"BHI-014",2004,0.3
"BHI-015",2004,0.3
"BHI-016",2004,0.3
"BHI-017",2004,0.3
"BHI-018",2004,0.36
"BHI-019",2004,0.36
"BHI-020",2004,0.12
"BHI-021",2004,0.12
"BHI-022",2004,0.12
"BHI-023",2004,0.12
"BHI-024",2004,0.12
"BHI-025",2004,0.12
"BHI-026",2004,0.12
"BHI-027",2004,0.18
"BHI-028",2004,0.18
"BHI-029",2004,0.16
"BHI-030",2004,0.16
"BHI-031",2004,0.16
"BHI-032",2004,0.31
"BHI-033",2004,0.31
"BHI-034",2004,0.31
"BHI-035",2004,0.43
"BHI-036",2004,0.43
"BHI-037",2004,0.2
"BHI-038",2004,0.2
"BHI-039",2004,0.5
"BHI-040",2004,0.5
"BHI-041",2004,0.5
"BHI-042",2004,0.5
"BHI-043",2004,0.46
"BHI-001",2005,0.45
"BHI-002",2005,0.45
"BHI-003",2005,0.43
"BHI-005",2005,0.34
"BHI-006",2005,0.34
"BHI-007",2005,0.26
"BHI-008",2005,0.26
"BHI-009",2005,0.38
"BHI-010",2005,0.38
"BHI-011",2005,0.48
"BHI-012",2005,0.48
"BHI-013",2005,0.48
