region_id,year,pressure_score
BHI-026,2011,0.51
BHI-026,2012,0.49
BHI-026,2013,0.33
BHI-026,2014,0.16
BHI-026,2015,0.1
BHI-026,2016,0.03
BHI-026,2017,0.23
BHI-025,1997,0.66
BHI-025,1998,0.75
BHI-025,1999,0.76
BHI-025,2000,0.75
BHI-025,2001,0.58
BHI-025,2002,0.54
BHI-025,2003,0.39
BHI-025,2004,0.32
BHI-025,2005,0.19
BHI-025,2006,0.27
BHI-025,2007,0.35
BHI-025,2008,0.35
BHI-025,2009,0.32
BHI-025,2010,0.41
BHI-025,2011,0.51
BHI-025,2012,0.49
BHI-025,2013,0.33
BHI-025,2014,0.16
BHI-025,2015,0.1
BHI-025,2016,0.03
BHI-025,2017,0.23
BHI-024,1997,0.66
BHI-024,1998,0.75
BHI-024,1999,0.76
BHI-024,2000,0.75
BHI-024,2001,0.58
BHI-024,2002,0.54
BHI-024,2003,0.39
BHI-024,2004,0.32
BHI-024,2005,0.19
BHI-024,2006,0.27
BHI-024,2007,0.35
BHI-024,2008,0.35
BHI-024,2009,0.32
BHI-024,2010,0.41
BHI-024,2011,0.51
BHI-024,2012,0.49
BHI-024,2013,0.33
BHI-024,2014,0.16
BHI-024,2015,0.1
BHI-024,2016,0.03
BHI-024,2017,0.23
BHI-023,1997,0.66
BHI-023,1998,0.75
BHI-023,1999,0.76
BHI-023,2000,0.75
BHI-023,2001,0.58
BHI-023,2002,0.54
BHI-023,2003,0.39
BHI-023,2004,0.32
BHI-023,2005,0.19
BHI-023,2006,0.27
BHI-023,2007,0.35
BHI-023,2008,0.35
BHI-023,2009,0.32
BHI-023,2010,0.41
BHI-023,2011,0.51
BHI-023,2012,0.49
BHI-023,2013,0.33
BHI-023,2014,0.16
BHI-023,2015,0.1
BHI-023,2016,0.03
BHI-023,2017,0.23
BHI-022,1997,0.66
BHI-022,1998,0.75
BHI-022,1999,0.76
BHI-022,2000,0.75
BHI-022,2001,0.58
BHI-022,2002,0.54
BHI-022,2003,0.39
BHI-022,2004,0.32
BHI-022,2005,0.19
BHI-022,2006,0.27
BHI-022,2007,0.35
BHI-022,2008,0.35
BHI-022,2009,0.32
BHI-022,2010,0.41
BHI-022,2011,0.51
BHI-022,2012,0.49
BHI-022,2013,0.33
BHI-022,2014,0.16
BHI-022,2015,0.1
BHI-022,2016,0.03
BHI-022,2017,0.23
BHI-021,1997,0.66
BHI-021,1998,0.75
BHI-021,1999,0.76
BHI-021,2000,0.75
BHI-021,2001,0.58
BHI-021,2002,0.54
BHI-021,2003,0.39
BHI-021,2004,0.32
BHI-021,2005,0.19
BHI-021,2006,0.27
BHI-021,2007,0.35
BHI-021,2008,0.35
BHI-021,2009,0.32
BHI-021,2010,0.41
BHI-021,2011,0.51
BHI-021,2012,0.49
BHI-021,2013,0.33
BHI-021,2014,0.16
BHI-021,2015,0.1
BHI-021,2016,0.03
BHI-021,2017,0.23
BHI-020,1997,0.66
BHI-020,1998,0.75
BHI-020,1999,0.76
BHI-020,2000,0.75
BHI-020,2001,0.58
BHI-020,2002,0.54
BHI-020,2003,0.39
BHI-020,2004,0.32
BHI-020,2005,0.19
BHI-020,2006,0.27
BHI-020,2007,0.35
BHI-020,2008,0.35
BHI-020,2009,0.32
BHI-020,2010,0.41
BHI-020,2011,0.51
BHI-020,2012,0.49
BHI-020,2013,0.33
BHI-020,2014,0.16
BHI-020,2015,0.1
BHI-020,2016,0.03
BHI-020,2017,0.23
BHI-019,1997,0.66
BHI-019,1998,0.75
BHI-019,1999,0.76
BHI-019,2000,0.75
BHI-019,2001,0.58
BHI-019,2002,0.54
BHI-019,2003,0.39
BHI-019,2004,0.32
BHI-019,2005,0.19
BHI-019,2006,0.27
BHI-019,2007,0.35
BHI-019,2008,0.35
BHI-019,2009,0.32
BHI-019,2010,0.41
BHI-019,2011,0.51
BHI-019,2012,0.49
BHI-019,2013,0.33
BHI-019,2014,0.16
BHI-019,2015,0.1
BHI-019,2016,0.03
BHI-019,2017,0.23
BHI-018,1997,0.66
BHI-018,1998,0.75
BHI-018,1999,0.76
BHI-018,2000,0.75
BHI-018,2001,0.58
BHI-018,2002,0.54
BHI-018,2003,0.39
BHI-018,2004,0.32
BHI-018,2005,0.19
BHI-018,2006,0.27
BHI-018,2007,0.35
BHI-018,2008,0.35
BHI-018,2009,0.32
BHI-018,2010,0.41
BHI-018,2011,0.51
BHI-018,2012,0.49
BHI-018,2013,0.33
BHI-018,2014,0.16
BHI-018,2015,0.1
BHI-018,2016,0.03
BHI-018,2017,0.23
BHI-017,1997,0.66
BHI-017,1998,0.75
BHI-017,1999,0.76
BHI-017,2000,0.75
BHI-017,2001,0.58
BHI-017,2002,0.54
BHI-017,2003,0.39
BHI-017,2004,0.32
BHI-017,2005,0.19
BHI-017,2006,0.27
BHI-017,2007,0.35
BHI-017,2008,0.35
BHI-017,2009,0.32
BHI-017,2010,0.41
BHI-017,2011,0.51
BHI-017,2012,0.49
BHI-017,2013,0.33
BHI-017,2014,0.16
BHI-017,2015,0.1
BHI-017,2016,0.03
BHI-017,2017,0.23
BHI-016,1997,0.66
BHI-016,1998,0.75
