bhi_id,year,pressure_score
BHI-028,2004,0.32602137
BHI-028,2005,0.303600583
BHI-028,2006,0.316071001
BHI-028,2007,0.325144017
BHI-028,2008,0.316685287
BHI-028,2009,0.262339133
BHI-028,2010,0.236644444
BHI-028,2011,0.206485714
BHI-028,2012,0.198637229
BHI-028,2014,0.191065801
BHI-028,2015,0.210565801
BHI-028,2016,0.259984848
BHI-027,1999,0.300814286
BHI-027,2000,0.300844048
BHI-027,2001,0.292865693
BHI-027,2002,0.30994982
BHI-027,2003,0.282937121
BHI-027,2004,0.32602137
BHI-027,2005,0.303600583
BHI-027,2006,0.316071001
BHI-027,2007,0.325144017
BHI-027,2008,0.316685287
BHI-027,2009,0.262339133
BHI-027,2010,0.236644444
BHI-027,2011,0.206485714
BHI-027,2012,0.198637229
BHI-027,2014,0.191065801
BHI-027,2015,0.210565801
BHI-027,2016,0.259984848
BHI-026,1999,0.279631755
BHI-026,2000,0.264641676
BHI-026,2001,0.269148951
BHI-026,2002,0.266624858
BHI-026,2003,0.247524093
BHI-026,2004,0.254847647
BHI-026,2005,0.247645266
BHI-026,2006,0.239341695
BHI-026,2007,0.258290108
BHI-026,2008,0.288298611
BHI-026,2009,0.284712302
BHI-026,2010,0.296140873
BHI-026,2011,0.312152778
BHI-026,2012,0.306150794
BHI-026,2013,0.29640873
BHI-026,2014,0.314107143
BHI-026,2015,0.269583333
BHI-026,2016,0.289702381
BHI-026,2017,0.310138889
BHI-026,2018,0.309642857
BHI-026,2019,0.31797619
BHI-026,2020,0.369196429
BHI-025,1999,0.218557402
BHI-025,2000,0.184355085
BHI-025,2001,0.174456759
BHI-025,2002,0.17436491
BHI-025,2003,0.146858645
BHI-025,2004,0.149319876
BHI-025,2005,0.177039143
BHI-025,2006,0.172525059
BHI-025,2007,0.186241754
BHI-025,2008,0.238339787
BHI-025,2009,0.227075416
BHI-025,2010,0.192814178
BHI-025,2011,0.206086237
BHI-025,2012,0.183586398
BHI-025,2013,0.131429624
BHI-025,2014,0.13752678
BHI-025,2015,0.157952037
BHI-025,2016,0.162364993
BHI-025,2017,0.217011375
BHI-025,2019,0.248816147
BHI-025,2020,0.25342141
BHI-024,1999,0.218557402
BHI-024,2000,0.184355085
BHI-024,2001,0.174456759
BHI-024,2002,0.17436491
BHI-024,2003,0.146858645
BHI-024,2004,0.149319876
BHI-024,2005,0.177039143
BHI-024,2006,0.172525059
BHI-024,2007,0.186241754
BHI-024,2008,0.238339787
BHI-024,2009,0.227075416
BHI-024,2010,0.192814178
BHI-024,2011,0.206086237
BHI-024,2012,0.183586398
BHI-024,2013,0.131429624
BHI-024,2014,0.13752678
BHI-024,2015,0.157952037
BHI-024,2016,0.162364993
BHI-024,2017,0.217011375
BHI-024,2019,0.248816147
BHI-024,2020,0.25342141
BHI-023,1999,0.218557402
BHI-023,2000,0.184355085
BHI-023,2001,0.174456759
BHI-023,2002,0.17436491
BHI-023,2003,0.146858645
BHI-023,2004,0.149319876
BHI-023,2005,0.177039143
BHI-023,2006,0.172525059
BHI-023,2007,0.186241754
BHI-023,2008,0.238339787
BHI-023,2009,0.227075416
BHI-023,2010,0.192814178
BHI-023,2011,0.206086237
BHI-023,2012,0.183586398
BHI-023,2013,0.131429624
BHI-023,2014,0.13752678
BHI-023,2015,0.157952037
BHI-023,2016,0.162364993
BHI-023,2017,0.217011375
BHI-023,2019,0.248816147
BHI-023,2020,0.25342141
BHI-022,1999,0.218557402
BHI-022,2000,0.184355085
BHI-022,2001,0.174456759
BHI-022,2002,0.17436491
BHI-022,2003,0.146858645
BHI-022,2004,0.149319876
BHI-022,2005,0.177039143
BHI-022,2006,0.172525059
BHI-022,2007,0.186241754
BHI-022,2008,0.238339787
BHI-022,2009,0.227075416
BHI-022,2010,0.192814178
BHI-022,2011,0.206086237
BHI-022,2012,0.183586398
BHI-022,2013,0.131429624
BHI-022,2014,0.13752678
BHI-022,2015,0.157952037
BHI-022,2016,0.162364993
BHI-022,2017,0.217011375
BHI-022,2019,0.248816147
BHI-022,2020,0.25342141
BHI-021,1999,0.218557402
BHI-021,2000,0.184355085
BHI-021,2001,0.174456759
BHI-021,2002,0.17436491
BHI-021,2003,0.146858645
BHI-021,2004,0.149319876
BHI-021,2005,0.177039143
BHI-021,2006,0.172525059
BHI-021,2007,0.186241754
BHI-021,2008,0.238339787
BHI-021,2009,0.227075416
BHI-021,2010,0.192814178
BHI-021,2011,0.206086237
BHI-021,2012,0.183586398
BHI-021,2013,0.131429624
BHI-021,2014,0.13752678
BHI-021,2015,0.157952037
BHI-021,2016,0.162364993
BHI-021,2017,0.217011375
BHI-021,2019,0.248816147
BHI-021,2020,0.25342141
BHI-020,1999,0.218557402
BHI-020,2000,0.184355085
BHI-020,2001,0.174456759
BHI-020,2002,0.17436491
BHI-020,2003,0.146858645
BHI-020,2004,0.149319876
BHI-020,2005,0.177039143
BHI-020,2006,0.172525059
BHI-020,2007,0.186241754
BHI-020,2008,0.238339787
BHI-020,2009,0.227075416
BHI-020,2010,0.192814178
BHI-020,2011,0.206086237
BHI-020,2012,0.183586398
BHI-020,2013,0.131429624
BHI-020,2014,0.13752678
BHI-020,2015,0.157952037
BHI-020,2016,0.162364993
BHI-020,2017,0.217011375
BHI-020,2019,0.248816147
BHI-020,2020,0.25342141
BHI-019,2000,0.223076923
BHI-019,2001,0.097435897
BHI-019,2002,0.051282051
BHI-019,2003,0.023931624
BHI-019,2004,0
BHI-019,2005,0.007905983
BHI-019,2006,0.041239316
BHI-019,2007,0.033333333
BHI-019,2008,0.076923077
BHI-019,2009,0.073504274
BHI-019,2010,0.141538462
BHI-019,2011,0.183076923
BHI-019,2012,0.167435897
BHI-019,2013,0.169017094
BHI-019,2014,0.18542735
BHI-019,2015,0.108504274
BHI-019,2016,0.124811966
BHI-018,2000,0.223076923
BHI-018,2001,0.097435897
BHI-018,2002,0.051282051
BHI-018,2003,0.023931624
BHI-018,2004,0
BHI-018,2005,0.007905983
BHI-018,2006,0.041239316
BHI-018,2007,0.033333333
BHI-018,2008,0.076923077
BHI-018,2009,0.073504274
BHI-018,2010,0.141538462
BHI-018,2011,0.183076923
BHI-018,2012,0.167435897
BHI-018,2013,0.169017094
BHI-018,2014,0.18542735
BHI-018,2015,0.108504274
BHI-018,2016,0.124811966
BHI-017,1999,0.081371279
BHI-017,2000,0.073129887
BHI-017,2001,0.100943434
BHI-017,2002,0.094392322
BHI-017,2003,0.088082748
BHI-017,2004,0.091803104
BHI-017,2005,0.090416019
BHI-017,2006,0.092986742
BHI-017,2007,0.106624821
BHI-017,2008,0.143037292
BHI-017,2009,0.148684558
BHI-017,2010,0.165816565
BHI-017,2011,0.187654196
BHI-017,2012,0.206012468
BHI-017,2013,0.216880901
BHI-017,2014,0.239183351
BHI-017,2015,0.26348111
BHI-017,2016,0.263647754
BHI-017,2017,0.221295519
BHI-017,2018,0.144237975
BHI-017,2019,0.123324644
BHI-017,2020,0.079668896
BHI-016,1999,0.081371279
BHI-016,2000,0.073129887
BHI-016,2001,0.100943434
BHI-016,2002,0.094392322
BHI-016,2003,0.088082748
BHI-016,2004,0.091803104
BHI-016,2005,0.090416019
BHI-016,2006,0.092986742
BHI-016,2007,0.106624821
BHI-016,2008,0.143037292
BHI-016,2009,0.148684558
BHI-016,2010,0.165816565
BHI-016,2011,0.187654196
BHI-016,2012,0.206012468
BHI-016,2013,0.216880901
BHI-016,2014,0.239183351
BHI-016,2015,0.26348111
BHI-016,2016,0.263647754
BHI-016,2017,0.221295519
BHI-016,2018,0.144237975
BHI-016,2019,0.123324644
BHI-016,2020,0.079668896
BHI-015,1999,0.081371279
BHI-015,2000,0.073129887
BHI-015,2001,0.100943434
BHI-015,2002,0.094392322
BHI-015,2003,0.088082748
BHI-015,2004,0.091803104
BHI-015,2005,0.090416019
BHI-015,2006,0.092986742
BHI-015,2007,0.106624821
BHI-015,2008,0.143037292
BHI-015,2009,0.148684558
BHI-015,2010,0.165816565
BHI-015,2011,0.187654196
BHI-015,2012,0.206012468
BHI-015,2013,0.216880901
BHI-015,2014,0.239183351
BHI-015,2015,0.26348111
BHI-015,2016,0.263647754
BHI-015,2017,0.221295519
BHI-015,2018,0.144237975
BHI-015,2019,0.123324644
BHI-015,2020,0.079668896
BHI-014,1999,0.081371279
BHI-014,2000,0.073129887
BHI-014,2001,0.100943434
BHI-014,2002,0.094392322
BHI-014,2003,0.088082748
BHI-014,2004,0.091803104
BHI-014,2005,0.090416019
BHI-014,2006,0.092986742
BHI-014,2007,0.106624821
BHI-014,2008,0.143037292
BHI-014,2009,0.148684558
BHI-014,2010,0.165816565
BHI-014,2011,0.187654196
BHI-014,2012,0.206012468
BHI-014,2013,0.216880901
BHI-014,2014,0.239183351
BHI-014,2015,0.26348111
BHI-014,2016,0.263647754
BHI-014,2017,0.221295519
BHI-014,2018,0.144237975
BHI-014,2019,0.123324644
BHI-014,2020,0.079668896
BHI-013,1999,0.010506318
BHI-013,2000,0
BHI-013,2001,0
BHI-013,2002,0
BHI-013,2003,0
BHI-013,2004,0
BHI-013,2005,0
BHI-013,2006,0
BHI-013,2007,0
BHI-013,2008,0.019154838
BHI-013,2009,0.082740045
BHI-013,2010,0.107910477
BHI-013,2011,0.144234184
BHI-013,2012,0.153589343
BHI-013,2013,0.160432101
BHI-013,2014,0.174087304
BHI-013,2015,0.235566178
BHI-013,2016,0.194253748
BHI-013,2017,0.1510097
BHI-013,2018,0.116389164
BHI-013,2019,0.111329641
BHI-013,2020,0.042438272
BHI-012,1999,0.010506318
BHI-012,2000,0
BHI-012,2001,0
BHI-012,2002,0
BHI-012,2003,0
BHI-012,2004,0
BHI-012,2005,0
BHI-012,2006,0
BHI-012,2007,0
