"region_id","year","surf_sal_pressure"
"BHI-031",1999,0.38
"BHI-032",1999,0.65
"BHI-033",1999,0.65
"BHI-034",1999,0.65
"BHI-035",1999,0.22
"BHI-036",1999,0.22
"BHI-037",1999,0.32
"BHI-038",1999,0.32
"BHI-039",1999,1
"BHI-040",1999,1
"BHI-041",1999,0.48
"BHI-042",1999,0.48
"BHI-043",1999,0.31
"BHI-001",2000,0.51
"BHI-002",2000,0.51
"BHI-003",2000,0.14
"BHI-005",2000,0.31
"BHI-006",2000,0.31
"BHI-007",2000,0.04
"BHI-008",2000,0.04
"BHI-009",2000,0.11
"BHI-010",2000,0.11
"BHI-011",2000,0.06
"BHI-012",2000,0.06
"BHI-013",2000,0.06
"BHI-014",2000,0.37
"BHI-015",2000,0.37
"BHI-016",2000,0.37
"BHI-017",2000,0.37
"BHI-018",2000,0.63
"BHI-019",2000,0.63
"BHI-020",2000,0.32
"BHI-021",2000,0.32
"BHI-022",2000,0.32
"BHI-023",2000,0.32
"BHI-024",2000,0.32
"BHI-025",2000,0.32
"BHI-026",2000,0.35
"BHI-027",2000,0.19
"BHI-028",2000,0.19
"BHI-029",2000,0.37
"BHI-030",2000,0.37
"BHI-031",2000,0.37
"BHI-032",2000,0.68
"BHI-033",2000,0.68
"BHI-034",2000,0.68
"BHI-035",2000,0.24
"BHI-036",2000,0.24
"BHI-037",2000,0.32
"BHI-038",2000,0.32
"BHI-039",2000,1
"BHI-040",2000,1
"BHI-041",2000,0.51
"BHI-042",2000,0.51
"BHI-043",2000,0.31
"BHI-001",2001,0.55
"BHI-002",2001,0.55
"BHI-003",2001,0.14
"BHI-005",2001,0.31
"BHI-006",2001,0.31
"BHI-007",2001,0.05
"BHI-008",2001,0.05
"BHI-009",2001,0.12
"BHI-010",2001,0.12
"BHI-011",2001,0.05
"BHI-012",2001,0.05
"BHI-013",2001,0.05
"BHI-014",2001,0.41
"BHI-015",2001,0.41
"BHI-016",2001,0.41
"BHI-017",2001,0.41
"BHI-018",2001,0.67
"BHI-019",2001,0.67
"BHI-020",2001,0.33
"BHI-021",2001,0.33
"BHI-022",2001,0.33
"BHI-023",2001,0.33
"BHI-024",2001,0.33
"BHI-025",2001,0.33
"BHI-026",2001,0.36
"BHI-027",2001,0.24
"BHI-028",2001,0.24
"BHI-029",2001,0.36
"BHI-030",2001,0.36
"BHI-031",2001,0.36
"BHI-032",2001,0.71
"BHI-033",2001,0.71
"BHI-034",2001,0.71
"BHI-035",2001,0.26
"BHI-036",2001,0.26
"BHI-037",2001,0.34
"BHI-038",2001,0.34
"BHI-039",2001,1
"BHI-040",2001,1
"BHI-041",2001,0.56
"BHI-042",2001,0.56
"BHI-043",2001,0.31
"BHI-001",2002,0.58
"BHI-002",2002,0.58
"BHI-003",2002,0.18
"BHI-005",2002,0.27
"BHI-006",2002,0.27
"BHI-007",2002,0.08
"BHI-008",2002,0.08
"BHI-009",2002,0.12
"BHI-010",2002,0.12
"BHI-011",2002,0.08
"BHI-012",2002,0.08
"BHI-013",2002,0.08
"BHI-014",2002,0.45
"BHI-015",2002,0.45
"BHI-016",2002,0.45
"BHI-017",2002,0.45
"BHI-018",2002,0.73
"BHI-019",2002,0.73
"BHI-020",2002,0.32
"BHI-021",2002,0.32
"BHI-022",2002,0.32
"BHI-023",2002,0.32
"BHI-024",2002,0.32
"BHI-025",2002,0.32
"BHI-026",2002,0.38
"BHI-027",2002,0.33
"BHI-028",2002,0.33
"BHI-029",2002,0.35
"BHI-030",2002,0.35
"BHI-031",2002,0.35
"BHI-032",2002,0.75
"BHI-033",2002,0.75
"BHI-034",2002,0.75
"BHI-035",2002,0.3
"BHI-036",2002,0.3
"BHI-037",2002,0.38
"BHI-038",2002,0.38
"BHI-039",2002,1
"BHI-040",2002,1
"BHI-041",2002,0.61
"BHI-042",2002,0.61
"BHI-043",2002,0.32
"BHI-001",2003,0.58
"BHI-002",2003,0.58
"BHI-003",2003,0.13
"BHI-005",2003,0.24
"BHI-006",2003,0.24
"BHI-007",2003,0.07
"BHI-008",2003,0.07
"BHI-009",2003,0.08
"BHI-010",2003,0.08
"BHI-011",2003,0.01
"BHI-012",2003,0.01
"BHI-013",2003,0.01
"BHI-014",2003,0.4
"BHI-015",2003,0.4
"BHI-016",2003,0.4
"BHI-017",2003,0.4
"BHI-018",2003,0.72
"BHI-019",2003,0.72
"BHI-020",2003,0.33
"BHI-021",2003,0.33
"BHI-022",2003,0.33
"BHI-023",2003,0.33
"BHI-024",2003,0.33
"BHI-025",2003,0.33
"BHI-026",2003,0.4
"BHI-027",2003,0.36
"BHI-028",2003,0.36
"BHI-029",2003,0.37
"BHI-030",2003,0.37
"BHI-031",2003,0.37
"BHI-032",2003,0.74
"BHI-033",2003,0.74
"BHI-034",2003,0.74
"BHI-035",2003,0.33
"BHI-036",2003,0.33
"BHI-037",2003,0.4
"BHI-038",2003,0.4
"BHI-039",2003,1
"BHI-040",2003,1
"BHI-041",2003,0.65
"BHI-042",2003,0.65
"BHI-043",2003,0.32
"BHI-001",2004,0.56
"BHI-002",2004,0.56
"BHI-003",2004,0.12
"BHI-005",2004,0.25
"BHI-006",2004,0.25
"BHI-007",2004,0.07
"BHI-008",2004,0.07
"BHI-009",2004,0.07
"BHI-010",2004,0.07
"BHI-011",2004,0.01
"BHI-012",2004,0.01
"BHI-013",2004,0.01
"BHI-014",2004,0.35
"BHI-015",2004,0.35
"BHI-016",2004,0.35
"BHI-017",2004,0.35
"BHI-018",2004,0.72
"BHI-019",2004,0.72
"BHI-020",2004,0.32
"BHI-021",2004,0.32
"BHI-022",2004,0.32
"BHI-023",2004,0.32
"BHI-024",2004,0.32
"BHI-025",2004,0.32
"BHI-026",2004,0.41
"BHI-027",2004,0.37
"BHI-028",2004,0.37
"BHI-029",2004,0.35
"BHI-030",2004,0.35
"BHI-031",2004,0.35
"BHI-032",2004,0.74
"BHI-033",2004,0.74
"BHI-034",2004,0.74
"BHI-035",2004,0.33
"BHI-036",2004,0.33
"BHI-037",2004,0.4
"BHI-038",2004,0.4
"BHI-039",2004,1
"BHI-040",2004,1
"BHI-041",2004,0.67
"BHI-042",2004,0.67
"BHI-043",2004,0.31
"BHI-001",2005,0.53
"BHI-002",2005,0.53
"BHI-003",2005,0.09
"BHI-005",2005,0.3
"BHI-006",2005,0.3
"BHI-007",2005,0.08
"BHI-008",2005,0.08
"BHI-009",2005,0.07
"BHI-010",2005,0.07
"BHI-011",2005,0.08
"BHI-012",2005,0.08
"BHI-013",2005,0.08
"BHI-014",2005,0.36
"BHI-015",2005,0.36
"BHI-016",2005,0.36
"BHI-017",2005,0.36
"BHI-018",2005,0.7
"BHI-019",2005,0.7
"BHI-020",2005,0.27
"BHI-021",2005,0.27
"BHI-022",2005,0.27
"BHI-023",2005,0.27
"BHI-024",2005,0.27
"BHI-025",2005,0.27
