region_id,month,year,secchi_depth
BHI-032,9,1995,4
BHI-007,9,1995,6.5
BHI-007,9,1995,7
BHI-007,9,1995,5.5
BHI-007,9,1995,5
BHI-007,9,1995,5
BHI-003,9,1995,7
BHI-003,9,1995,7
BHI-003,9,1995,7
BHI-003,9,1995,8
BHI-003,9,1995,6
BHI-012,9,1995,6
BHI-012,9,1995,6
BHI-012,9,1995,7
BHI-003,9,1995,12
BHI-003,9,1995,11.5
BHI-003,9,1995,12
BHI-003,9,1995,10
BHI-003,9,1995,11
BHI-001,9,1995,6
BHI-001,9,1995,6
BHI-034,9,1995,4.5
BHI-032,9,1995,4.5
BHI-032,9,1995,4
BHI-032,9,1995,4
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-031,9,1995,6
BHI-034,9,1995,5
BHI-034,9,1995,5
BHI-032,9,1995,6
BHI-032,9,1995,6
BHI-034,9,1995,7
BHI-032,9,1995,5.5
BHI-034,9,1995,6.5
BHI-032,9,1995,5.5
BHI-032,9,1995,6.5
BHI-032,9,1995,6.5
BHI-041,9,1995,5.6
BHI-003,9,1995,8.5
BHI-003,9,1995,8.5
BHI-001,9,1995,6
BHI-001,9,1995,6
BHI-001,9,1995,8.7
BHI-001,9,1995,8
BHI-031,9,1995,6
BHI-002,9,1995,9
BHI-002,9,1995,9
BHI-002,9,1995,9
BHI-002,9,1995,9
BHI-001,9,1995,9
BHI-032,9,1995,5.5
BHI-032,9,1995,5
BHI-032,9,1995,5.5
BHI-038,9,1995,4.7
BHI-032,9,1995,5
BHI-034,9,1995,5.5
BHI-032,9,1995,4.5
BHI-034,9,1995,6
BHI-034,9,1995,5
BHI-032,9,1995,5.5
BHI-032,9,1995,5
BHI-012,9,1995,8.833333333333334
BHI-003,9,1995,7.5
BHI-003,9,1995,7.5
BHI-012,9,1995,6.1
BHI-026,9,1995,6
BHI-002,9,1995,10.5
BHI-003,9,1995,6
BHI-003,9,1995,6
BHI-006,9,1995,5.5
BHI-006,9,1995,6.5
