region_id,year,employ_pop
BHI-032,2018,73.74
BHI-023,2018,74.15
BHI-027,2018,71.8
BHI-024,2018,71.8
BHI-017,2018,67
BHI-018,2018,67
BHI-021,2018,67
BHI-011,2018,77.0875
BHI-041,2018,77.0875
BHI-037,2018,77.0875
BHI-001,2018,77.0875
BHI-029,2018,77.0875
BHI-039,2018,77.0875
BHI-035,2018,77.0875
BHI-014,2018,77.0875
BHI-005,2018,77.0875
BHI-026,2018,77.0875
BHI-020,2018,77.0875
BHI-013,2019,76.91315789473684
BHI-008,2019,76.91315789473684
BHI-010,2019,76.91315789473684
BHI-016,2019,76.91315789473684
BHI-015,2019,74.48
BHI-002,2019,74.48
BHI-003,2019,74.48
BHI-006,2019,74.48
BHI-007,2019,74.48
BHI-009,2019,74.48
BHI-012,2019,74.48
BHI-025,2019,75.3
BHI-034,2019,75.3
BHI-028,2019,75.3
BHI-031,2019,75.3
BHI-042,2019,74.4
BHI-038,2019,74.4
BHI-040,2019,74.4
BHI-036,2019,74.4
BHI-043,2019,74.4
BHI-032,2019,74.4
BHI-023,2019,74.8
BHI-027,2019,72.3
BHI-024,2019,72.3
BHI-017,2019,67.75294117647059
BHI-018,2019,67.75294117647059
BHI-021,2019,67.75294117647059
BHI-011,2019,76.6625
BHI-041,2019,76.6625
BHI-037,2019,76.6625
BHI-001,2019,76.6625
BHI-029,2019,76.6625
BHI-039,2019,76.6625
BHI-035,2019,76.6625
BHI-014,2019,76.6625
BHI-005,2019,76.6625
BHI-026,2019,76.6625
BHI-020,2019,76.6625
BHI-013,2020,76.17368421052632
BHI-008,2020,76.17368421052632
BHI-010,2020,76.17368421052632
BHI-016,2020,76.17368421052632
BHI-015,2020,73.86
BHI-002,2020,73.86
BHI-003,2020,73.86
BHI-006,2020,73.86
BHI-007,2020,73.86
BHI-009,2020,73.86
BHI-012,2020,73.86
BHI-025,2020,73.7
BHI-034,2020,73.7
BHI-028,2020,73.7
BHI-031,2020,73.7
BHI-042,2020,73.68
BHI-038,2020,73.68
BHI-040,2020,73.68
BHI-036,2020,73.68
BHI-043,2020,73.68
BHI-032,2020,73.68
BHI-023,2020,73.25
BHI-027,2020,71.6
BHI-024,2020,71.6
BHI-017,2020,68.33529411764707
BHI-018,2020,68.33529411764707
BHI-021,2020,68.33529411764707
BHI-011,2020,75.2625
BHI-041,2020,75.2625
BHI-037,2020,75.2625
BHI-001,2020,75.2625
BHI-029,2020,75.2625
BHI-039,2020,75.2625
BHI-035,2020,75.2625
BHI-014,2020,75.2625
BHI-005,2020,75.2625
BHI-026,2020,75.2625
BHI-020,2020,75.2625
