region_id,year,oxydebt_pressure
BHI-026,2014,0.298118913
BHI-026,2015,0.243889017
BHI-026,2016,0.231622508
BHI-026,2017,0.269650286
BHI-026,2018,0.326124465
BHI-026,2019,0.282751224
BHI-025,2000,0.076021832
BHI-025,2001,0.259621772
BHI-025,2002,0.191887592
BHI-025,2003,0.293063364
BHI-025,2004,0.265269045
BHI-025,2005,0.180106948
BHI-025,2006,0.241682133
BHI-025,2007,0.256989732
BHI-025,2008,0.218299507
BHI-025,2009,0.260757677
BHI-025,2010,0.220483468
BHI-025,2011,0.295084344
BHI-025,2012,0.149064516
BHI-025,2013,0.275774805
BHI-025,2014,0.298118913
BHI-025,2015,0.243889017
BHI-025,2016,0.231622508
BHI-025,2017,0.269650286
BHI-025,2018,0.326124465
BHI-025,2019,0.282751224
BHI-024,2000,0.076021832
BHI-024,2001,0.259621772
BHI-024,2002,0.191887592
BHI-024,2003,0.293063364
BHI-024,2004,0.265269045
BHI-024,2005,0.180106948
BHI-024,2006,0.241682133
BHI-024,2007,0.256989732
BHI-024,2008,0.218299507
BHI-024,2009,0.260757677
BHI-024,2010,0.220483468
BHI-024,2011,0.295084344
BHI-024,2012,0.149064516
BHI-024,2013,0.275774805
BHI-024,2014,0.298118913
BHI-024,2015,0.243889017
BHI-024,2016,0.231622508
BHI-024,2017,0.269650286
BHI-024,2018,0.326124465
BHI-024,2019,0.282751224
BHI-023,2000,0.076021832
BHI-023,2001,0.259621772
BHI-023,2002,0.191887592
BHI-023,2003,0.293063364
BHI-023,2004,0.265269045
BHI-023,2005,0.180106948
BHI-023,2006,0.241682133
BHI-023,2007,0.256989732
BHI-023,2008,0.218299507
BHI-023,2009,0.260757677
BHI-023,2010,0.220483468
BHI-023,2011,0.295084344
BHI-023,2012,0.149064516
BHI-023,2013,0.275774805
BHI-023,2014,0.298118913
BHI-023,2015,0.243889017
BHI-023,2016,0.231622508
BHI-023,2017,0.269650286
BHI-023,2018,0.326124465
BHI-023,2019,0.282751224
BHI-022,2000,0.076021832
BHI-022,2001,0.259621772
BHI-022,2002,0.191887592
BHI-022,2003,0.293063364
BHI-022,2004,0.265269045
BHI-022,2005,0.180106948
BHI-022,2006,0.241682133
BHI-022,2007,0.256989732
BHI-022,2008,0.218299507
BHI-022,2009,0.260757677
BHI-022,2010,0.220483468
BHI-022,2011,0.295084344
BHI-022,2012,0.149064516
BHI-022,2013,0.275774805
BHI-022,2014,0.298118913
BHI-022,2015,0.243889017
BHI-022,2016,0.231622508
BHI-022,2017,0.269650286
BHI-022,2018,0.326124465
BHI-022,2019,0.282751224
BHI-021,2000,0.076021832
BHI-021,2001,0.259621772
BHI-021,2002,0.191887592
BHI-021,2003,0.293063364
BHI-021,2004,0.265269045
BHI-021,2005,0.180106948
BHI-021,2006,0.241682133
BHI-021,2007,0.256989732
BHI-021,2008,0.218299507
BHI-021,2009,0.260757677
BHI-021,2010,0.220483468
BHI-021,2011,0.295084344
BHI-021,2012,0.149064516
BHI-021,2013,0.275774805
BHI-021,2014,0.298118913
BHI-021,2015,0.243889017
BHI-021,2016,0.231622508
BHI-021,2017,0.269650286
BHI-021,2018,0.326124465
BHI-021,2019,0.282751224
BHI-020,2000,0.076021832
BHI-020,2001,0.259621772
BHI-020,2002,0.191887592
BHI-020,2003,0.293063364
BHI-020,2004,0.265269045
BHI-020,2005,0.180106948
BHI-020,2006,0.241682133
BHI-020,2007,0.256989732
BHI-020,2008,0.218299507
BHI-020,2009,0.260757677
BHI-020,2010,0.220483468
BHI-020,2011,0.295084344
BHI-020,2012,0.149064516
BHI-020,2013,0.275774805
BHI-020,2014,0.298118913
BHI-020,2015,0.243889017
BHI-020,2016,0.231622508
BHI-020,2017,0.269650286
BHI-020,2018,0.326124465
BHI-020,2019,0.282751224
BHI-019,2000,0.076021832
BHI-019,2001,0.259621772
BHI-019,2002,0.191887592
BHI-019,2003,0.293063364
BHI-019,2004,0.265269045
BHI-019,2005,0.180106948
BHI-019,2006,0.241682133
BHI-019,2007,0.256989732
BHI-019,2008,0.218299507
BHI-019,2009,0.260757677
BHI-019,2010,0.220483468
BHI-019,2011,0.295084344
BHI-019,2012,0.149064516
BHI-019,2013,0.275774805
BHI-019,2014,0.298118913
BHI-019,2015,0.243889017
BHI-019,2016,0.231622508
BHI-019,2017,0.269650286
BHI-019,2018,0.326124465
BHI-019,2019,0.282751224
BHI-018,2000,0.076021832
BHI-018,2001,0.259621772
BHI-018,2002,0.191887592
BHI-018,2003,0.293063364
BHI-018,2004,0.265269045
BHI-018,2005,0.180106948
BHI-018,2006,0.241682133
BHI-018,2007,0.256989732
BHI-018,2008,0.218299507
BHI-018,2009,0.260757677
BHI-018,2010,0.220483468
BHI-018,2011,0.295084344
BHI-018,2012,0.149064516
BHI-018,2013,0.275774805
BHI-018,2014,0.298118913
BHI-018,2015,0.243889017
BHI-018,2016,0.231622508
BHI-018,2017,0.269650286
BHI-018,2018,0.326124465
BHI-018,2019,0.282751224
BHI-017,2000,0.191959756
BHI-017,2001,0.16610699
BHI-017,2002,0.143514849
BHI-017,2003,0
BHI-017,2004,0.154640134
BHI-017,2005,0.310502517
BHI-017,2006,0.082301555
BHI-017,2007,0.234217937
BHI-017,2008,0.220823728
BHI-017,2009,0.256091688
BHI-017,2010,0.064256416
BHI-017,2011,0.232388399
BHI-017,2012,0.147821648
BHI-017,2013,0.189959367
BHI-017,2014,0.133216074
BHI-017,2015,0.082417106
BHI-017,2016,0.115618174
BHI-017,2017,0.128967915
BHI-017,2018,0.373286841
BHI-017,2019,0.207298016
BHI-016,2000,0.191959756
BHI-016,2001,0.16610699
BHI-016,2002,0.143514849
BHI-016,2003,0
BHI-016,2004,0.154640134
BHI-016,2005,0.310502517
BHI-016,2006,0.082301555
BHI-016,2007,0.234217937
BHI-016,2008,0.220823728
BHI-016,2009,0.256091688
BHI-016,2010,0.064256416
BHI-016,2011,0.232388399
BHI-016,2012,0.147821648
BHI-016,2013,0.189959367
BHI-016,2014,0.133216074
BHI-016,2015,0.082417106
BHI-016,2016,0.115618174
BHI-016,2017,0.128967915
BHI-016,2018,0.373286841
BHI-016,2019,0.207298016
BHI-015,2000,0.191959756
BHI-015,2001,0.16610699
BHI-015,2002,0.143514849
BHI-015,2003,0
BHI-015,2004,0.154640134
BHI-015,2005,0.310502517
BHI-015,2006,0.082301555
BHI-015,2007,0.234217937
BHI-015,2008,0.220823728
BHI-015,2009,0.256091688
BHI-015,2010,0.064256416
BHI-015,2011,0.232388399
BHI-015,2012,0.147821648
BHI-015,2013,0.189959367
BHI-015,2014,0.133216074
BHI-015,2015,0.082417106
BHI-015,2016,0.115618174
BHI-015,2017,0.128967915
BHI-015,2018,0.373286841
BHI-015,2019,0.207298016
BHI-014,2000,0.191959756
BHI-014,2001,0.16610699
BHI-014,2002,0.143514849
BHI-014,2003,0
BHI-014,2004,0.154640134
BHI-014,2005,0.310502517
BHI-014,2006,0.082301555
BHI-014,2007,0.234217937
BHI-014,2008,0.220823728
BHI-014,2009,0.256091688
BHI-014,2010,0.064256416
BHI-014,2011,0.232388399
BHI-014,2012,0.147821648
BHI-014,2013,0.189959367
BHI-014,2014,0.133216074
BHI-014,2015,0.082417106
BHI-014,2016,0.115618174
BHI-014,2017,0.128967915
BHI-014,2018,0.373286841
BHI-014,2019,0.207298016
BHI-013,2000,NA
BHI-013,2001,NA
BHI-013,2002,NA
BHI-013,2003,NA
BHI-013,2004,NA
BHI-013,2005,NA
BHI-013,2006,NA
BHI-013,2007,NA
BHI-013,2008,NA
BHI-013,2009,NA
BHI-013,2010,NA
BHI-013,2011,NA
BHI-013,2012,NA
BHI-013,2013,NA
BHI-013,2014,NA
BHI-013,2015,NA
BHI-013,2016,NA
BHI-013,2017,NA
BHI-013,2018,NA
BHI-013,2019,NA
BHI-012,2000,NA
BHI-012,2001,NA
BHI-012,2002,NA
BHI-012,2003,NA
BHI-012,2004,NA
BHI-012,2005,NA
BHI-012,2006,NA
BHI-012,2007,NA
BHI-012,2008,NA
BHI-012,2009,NA
BHI-012,2010,NA
BHI-012,2011,NA
BHI-012,2012,NA
BHI-012,2013,NA
BHI-012,2014,NA
BHI-012,2015,NA
BHI-012,2016,NA
BHI-012,2017,NA
BHI-012,2018,NA
BHI-012,2019,NA
BHI-011,2000,NA
BHI-011,2001,NA
BHI-011,2002,NA
BHI-011,2003,NA
BHI-011,2004,NA
BHI-011,2005,NA
BHI-011,2006,NA
BHI-011,2007,NA
BHI-011,2008,NA
BHI-011,2009,NA
BHI-011,2010,NA
BHI-011,2011,NA
BHI-011,2012,NA
BHI-011,2013,NA
BHI-011,2014,NA
BHI-011,2015,NA
BHI-011,2016,NA
BHI-011,2017,NA
BHI-011,2018,NA
BHI-011,2019,NA
BHI-010,2000,NA
BHI-010,2001,NA
BHI-010,2002,NA
BHI-010,2003,NA
BHI-010,2004,NA
BHI-010,2005,NA
BHI-010,2006,NA
BHI-010,2007,NA
BHI-010,2008,NA
BHI-010,2009,NA
BHI-010,2010,NA
BHI-010,2011,NA
BHI-010,2012,NA
BHI-010,2013,NA
BHI-010,2014,NA
BHI-010,2015,NA
BHI-010,2016,NA
BHI-010,2017,NA
BHI-010,2018,NA
BHI-010,2019,NA
