region_id,latitude,longitude,year,value,matrix
38,61.25,19.5,2009,11.819320000000001,bio
31,58.75,20.5,2009,6.885199999999999,bio
37,60.5326,18.162399999999998,2009,6.57015,bio
14,55.9491,15.780999999999999,2009,3.2743675,bio
14,55.7507,14.283299999999999,2009,10.71585,bio
29,58.693600000000004,18.0043,2009,4.432562857142857,bio
14,55.9491,15.780999999999999,2010,4.429875,bio
13,54.744,13.925833330000001,2010,9.641666666666666,bio
30,59.54753,22.60535,2010,2.54,bio
17,54.91666666999999,16.666666669999998,2010,3.3360000000000003,bio
21,54.91666666999999,18.666666669999998,2010,2.3725,bio
1,57.224700000000006,11.828,2010,2.26255,bio
42,64.17916999999998,23.326539999999998,2010,2.034,bio
38,61.710950000000004,20.70753,2010,2.1738461538461538,bio
1,56.325100000000006,12.3811,2010,5.6068,bio
38,61.25,19.5,2010,11.472000000000001,bio
14,55.7507,14.283299999999999,2010,9.571900000000001,bio
29,58.693600000000004,18.0043,2010,2.9918216666666666,bio
42,64.17916999999998,23.326539999999998,2011,1.7565,bio
38,61.710950000000004,20.70753,2011,2.2466666666666666,bio
30,59.54753,22.60535,2011,3.0300000000000002,bio
35,59.565200000000004,18.834800000000005,2011,13.30288,bio
13,54.84183333,14.04083333,2011,5.41,bio
1,57.224700000000006,11.828,2011,3.5011562499999997,bio
21,54.91666666999999,18.666666669999998,2011,4.34285,bio
17,54.91666666999999,16.666666669999998,2011,3.5845000000000002,bio
32,60.25459,26.3828,2011,4.068,bio
38,61.25,19.5,2011,11.401799999999998,bio
26,57.3167,17.5,2011,15.930180000000002,bio
41,65.5825,22.8791,2011,5.089212,bio
31,58.75,20.5,2011,5.7323,bio
30,59.54753,22.60535,2011,3.973333333333333,bio
41,65.0568,21.474999999999998,2011,3.576365,bio
29,58.693600000000004,18.0043,2011,5.3170271428571425,bio
11,55.3163,13.610999999999999,2011,10.04526,bio
14,55.7507,14.283299999999999,2011,11.56872,bio
42,64.17916999999998,23.326539999999998,2012,1.616,bio
38,61.710950000000004,20.70753,2012,1.7057142857142857,bio
14,55.9491,15.780999999999999,2012,6.6850000000000005,bio
37,60.5326,18.162399999999998,2012,8.1875,bio
37,62.8645,18.2412,2012,6.321000000000001,bio
1,57.224700000000006,11.828,2012,2.744818181818182,bio
13,54.8885,14.079166670000001,2012,5.41,bio
28,57.97184789999999,23.2602585,2012,3.3047933333333335,bio
32,60.25459,26.3828,2012,7.155714285714286,bio
21,54.91666666999999,18.666666669999998,2012,4.97,bio
